futile                        无用的
saturnine                     乖戾的
foretell                      预言
felicitous                    合适的
cumbersome                    笨拙的 -cumber 阻碍
erstwhile                     过去的 -onetim
pristine                      原始的
edify                         启迪
proffer                       提供
reconcile                     使和解
amenable                      顺从的
coddle                        溺爱
circumspect                   小心谨慎的
scrutiny                      细看
compunction                   内疚 后悔
denunciate                    指责 -denounce 指责
exile                         放逐 流放
resent                        厌恶
baffle                        使困惑
contradictory                 对立的
antidote                      解药
brazen                        无耻的
scant                         缺乏的
nostrum                       （未经科学证明的）神药
malignant                     恶性的
lurk                          潜伏 暗中行动
spiteful                      恶毒的
oracle                        先知
taciturn                      沉默寡言的
adept                         精通的
pith                          精力
enthrall                      吸引
embargo                       贸易禁令
ponderous                     笨重的
coterie                       小兴趣团体
plausible                     看上去合理的
elusive                       难以捕捉的
skullduggery                  欺骗
hurtle                        猛冲
forage                        寻找食物
sordid                        卑鄙的
aesthetic                     美学的
immerse                       浸泡
veracity                      诚实 -veracious 诚实的
lassitude                     无精打采
inveigle                      诱骗
obsolete                      废弃的 过时的
refuge                        避难所
compartmentalize              分门别类
placid                        平静的
alarmism                      危言耸听
vainglorious                  自负的
pathos                        同情
sporadic                      偶发的
quip                          风趣的话
glean                         收集
assiduous                     努力的
prophylactic                  预防性的
detrimental                   有害的
atavism                       返祖现象 -av祖先
neutralize                    中和
rife                          流行的 普遍的
moribund                      垂死的
perspicacious                 有洞察力的
fringe                        边缘
clique                        小团体
brook                         容忍
fleeting                      短暂的
apolitical                    政治无关的
*propitious                   吉祥的
duplicate                     复制
dismantle                     拆卸 -mantle 覆盖物
bemuse                        使困惑
facile                        肤浅的
convolute                     卷绕 回旋 -convoluted 复杂的
latent                        潜在的
gloat                         幸灾乐祸
utilitarian                   实用的
arcane                        神秘的 难懂的
retreat                       撤退
*juvenile                     幼稚
*demolish                     摧毁
dreary                        沉寂的
virtuosity                    精湛技艺
inverse                       相反的
imperturbable                 沉着的 镇静的
insular                       孤立的
persevere                     坚持
blatant                       公然的
vulgar                        粗俗的 -n 平民
petty                         不重要的
intensify                     使加剧
forge                         伪造 ；缔造
ebullient                     热情奔放的
accrete                       共生
grip                          吸引
prepossessing                 有魅力的
decadent                      颓废的
consummate                    圆满的
unwitting                     不知情的 无意的
arresting                     吸引人的
discount                      低估
flamboyant                    过分华丽的
peccadillo                    小过失
nonplus                       使困惑
abnegate                      否认 放弃
hoard                         贮藏
exorbitant                    过度的
flighty                       见异思迁的 反复无常的
anemia                        无活力
expurgate                     删除（书中成分）
succumb                       屈服
sap                           活力
interminable                  持续的
fusty                         守旧的
turbulent                     混乱的
bland                         无聊的
seamy                         丑恶的 污秽的
vivacity                      活力
pretentious                   狂妄的 虚伪的
stagnate                      停滞
sterling                      高质量的
rectitude                     正直
vehement                      感情强烈的
volatile                      易变的 不稳定的
forthcoming                   即将到来的
*animadversion                谴责
pastiche                      模仿品
histrionic                    做作的
conversant                    熟悉的
diligent                      努力的 -industrious
ethos                         气质
temper                        脾气 -v 缓和
reprisal                      报复
antiquarian                   古文物研究的
profane                       不敬 亵渎
*antipathetic                 厌恶的
abridge                       缩短
overstate                     夸大
shear                         剪切
tendentious                   有偏向的
opprobrium                    抨击 谴责 -opprobrious 无礼的
ascetic                       禁欲的 苦行的
overthrow                     推翻
platitude                     陈词滥调
ruminate                      沉思
ecstatic                      欣喜若狂的 -ecstacy
*impede                       阻碍 -impediment
devastate                     严重破坏
acquiesce                     默许
fraught                       充满的
mordant                       刻薄的
controvert                    反驳
impute                        归咎于
elate                         使高兴
potent                        强有力的 有权势的 -impotent 无能的 -omnipotent 全能的
perishable                    短暂的
venal                         贪财的
slipshod                      粗心的
patchwork                     混合物
unerring                      准确的 无偏差的
convulsion                    动乱
retrench                      消减费用 -curtail
mandate                       命令
utter                         完全的 -v 发出声音
whereabouts                   行踪
prerogative                   特权
insipid                       乏味的
resolve                       决心
predispose                    使倾向于 使易感染
incentive                     激励
albeit                        -conj 即使
estrange                      疏远
entail                        牵涉 需要 继承
discredit                     使不可信 败坏名声
suffrage                      选举权
pivotal                       中枢的 关键的
antidiluvian                  古老 -大洪水之前
rattle                        发出嘎嘎声
pseudonym                     假名
sobriety                      清醒 严肃
preside                       主持
inert                         惰性的
*whet                         削尖
ostensible                    表面的 虚假的
*lucid                        清晰的
recondite                     深奥的
fulminate                     抨击 辱骂
consign                       委托 托运
enervate                      使衰弱 -
confine                       限制 -circumscrib
amicable                      友好的
decorous                      得体的 -decorum 礼貌
deviate                       脱离
pugnacious                    好斗的 -
unkempt                       不整洁的
rein                          缰绳 驾驭 控制 -bridl
renowned                      出名的
perplexing                    令人费解的
siphon                        虹吸
fluster                       使不安
bucolic                       田园的
discretion                    谨慎 自由决定
preclude                      阻止
limpid                        清澈的 透明的
countermand                   撤销命令
impulsive                     冲动的
stalemate                     僵局
quash                         废除 镇压
inclusive                     全面的
paucity                       少量
aristocracy                   贵族
*undue                        过量的
egotism                       自大
hamstring                     损坏
yardstick                     准绳
devoid                        缺乏的
pellucid                      清澈的 透明的
posture                       姿势 态度 立场
satiate                       使充分满足
brink                         边缘
grouchy                       易怒的
spike                         上升
baroque                       奢华的
excoriate                     擦伤 指责
fissure                       裂缝
tactful                       机智的 圆滑的
demur                         反对
bravado                       虚张声势
befuddle                      使迷惑
adorn                         装饰
*caustic                      刻薄的 -acerb
misfeasance                   不法行为
multitudinous                 大量的
irritate                      激怒
exuberant                     生机勃勃的 热情洋溢的
archetypal                    典型的
dispense                      分配
modish                        流行的
acclaim                       称赞
sublime                       崇高的 宏伟的 -v 升华
extricate                     解脱
resourceful                   足智多谋的
savvy                         有见识的
obliterate                    抹去 使消失 -liter 擦
cognizant                     认识到的
feeble                        虚弱的 -enfeeble 使虚弱
*recapitulate                 总结
boorish                       粗野的
frugal                        节俭的
opaque                        不透明的
prowess                       高超技艺 -prow 勇敢
putative                      公认的 假定的
revitalize                    使复活
ordain                        授予圣职；规定
*contentious                  有争论的
imbibe                        喝
tepid                         冷淡的
bootless                      无用的
*prevarication                搪塞 说谎
aloof                         冷漠的
colloquial                    口头的
equable                       平静的
jubilation                    欣喜若狂 -
forbidding                    令人畏惧的 -daunt
conduce                       引导
insult                        侮辱
remedy                        补救
endow                         赋予 捐赠
oblivious                     健忘的
hideous                       丑陋吓人的
compliment                    赞美
forsake                       放弃
methodology                   方法论
heft                          重量 体积 -hefty 大且重的
glorify                       赞美
terminology                   术语
degrade                       贬低
intermediary                  中间人
alacrity                      活泼 欣然 -allegro
anodyne                       止痛的 平淡无奇的
voluble                       健谈的
stilted                       生硬的
dour                          严肃的
ignorant                      无知的 愚昧的
temperate                     温和的
brag                          吹嘘
alienate                      疏远
recoil                        畏缩
fervent                       热烈的
*droll                        古怪的
vernacular                    方言的 本国话的
promulgate                    传播
apex                          顶峰
transient                     短暂的
scarce                        缺乏
downcast                      沮丧的
*gratify                      使满意
rapacious                     贪婪的
resemble                      相似
hitch                         故障
reckless                      鲁莽的
obfuscate                     使困惑 -obscur
observant                     善于观察的
verge                         边缘 接近
willful                       任性的 固执的
enmity                        敌意
moonshine                     空话
unalloyed                     纯粹的 -alloy 合金
condemn                       谴责
wary                          小心
riddle                        谜题 -enigma -conundrum
catalyze                      催化 促进
forbear                       忍耐
*risible                      可笑的 滑稽的
guild                         协会
sardonic                      讽刺的
accountable                   负有责任的
reminiscent                   怀旧的
tantamount                    相当的
supersede                     取代 -preempt
prescience                    先知
circumscribe                  限制
lurid                         可怕的
judicious                     有正确判断力的
intriguing                    有趣的
*hone                         磨练（技能）
flummery                      恭维
machination                   诡计
cliche                        陈词滥调
invertebrate                  软弱的 无脊椎动物
stale                         陈腐的
mar                           损坏
elicit                        引起 -draw
spacious                      宽敞的
demarcate                     划分边界 -mark
gall                          胆汁 擦伤
ostentatious                  炫耀的
budding                       新出现的
buoyant                       漂浮的 愉快的
humanitarian                  人道的
barring                       -prep 不包括
tentative                     试探性的 临时的 犹豫的
inveterate                    根深蒂固的 -in -vet 老
revel                         陶醉；狂欢
despotic                      独裁的 专制的
colossal                      巨大的
discern                       察觉 识别
stalwart                      强壮的 忠诚的
subsidize                     赞助
omnivorous                    杂食性的
hagiography                   圣徒传 -hagio 神圣的
interjection                  插话
treacherous                   奸诈的
miserly                       吝啬的
adduce                        引证
stonewall                     拖延 拒绝合作
dilate                        扩大
exhale                        呼出 -in
anthropogenic                 人为的
paltry                        微小的
provision                     预备；提供
minster                       大臣 -v 辅助 -ministration 帮助
erode                         腐蚀
meld                          混合
humility                      谦虚
eschew                        避免
prodigious                    大的惊人的
stymie                        阻碍
equivocal                     有歧义的
rhetorical                    有说服力的
piecemeal                     逐个完成的
proliferate                   增殖 激增 -abound
erect                         直立的
vicissitude                   变迁
disdain                       鄙视
magisterial                   权威的
wane                          衰退 月亏
incipient                     开始的
adjure                        恳求 -adjure/ab
avid                          渴望的 贪婪的
nascent                       初始的
*complacent                   自满的 -
commence                      开始
corporeal                     有形的 实体的
evenhanded                    公平的
prolific                      多产的
arduous                       困难的 -h
dewy-eyed                     天真的
eviscerate                    除去内脏 沉重打击
sabotage                      故意破坏
occlude                       阻塞
prescribe                     规定 开处方
finesse                       技巧 手段
far-fetched                   牵强附会的
appreciable                   可感知的 可估计的
parochial                     狭隘的 -parochia 教区
cast-iron                     坚固的
supercede                     取代
*obstruct                     妨碍
contemplate                   深入思考
expedite                      加快
boon                          福利
woo                           求爱 寻求支持
increment                     增长
commend                       赞许 推荐
self-righteous                自以为是的
conviviality                  欢乐
girth                         尺寸
celerity                      敏捷
boisterous                    吵闹的
heterodox                     异端邪说的
towering                      耸立的
hackneyed                     陈腐的 -hackney 老马
*presumptuous                 自以为是的
rote                          死记硬背
moralistic                    说教的
sensuous                      感官愉悦的
bestow                        授予
manacle                       手铐 -manus 手
conceal                       隐藏
expatriate                    移民国外 驱逐
compulsory                    强制的
gadfly                        讨人厌者 牛虻
disquisition                  专题报告
sanctimonious                 假正经的
censure                       批评
beset                         困扰
blemish                       玷污
ephemeral                     短暂的
disseminate                   散布 传播
repugnant                     令人厌恶的
acuity                        敏锐
disparage                     轻视 贬低 -par 相等
sluggish                      迟钝的
grandiose                     壮观的
transcend                     超越
inhibit                       抑制 -hinder -bridle
contiguous                    相邻的
coy                           腼腆的
pervasive                     普遍的 -pervad
expostulate                   争论 反驳
loquacious                    话多的 -garrulous 话多的
hazardous                     危险的
captious                      吹毛求疵的
inaugurate                    开始
domesticate                   驯养
veracious                     真诚的
handicap                      障碍
refute                        驳倒
erudite                       博学的
petulant                      易怒的
lionize                       重视 尊敬
snare                         陷阱 -v 捕捉
enchanting                    迷人的
sagacious                     聪明的
tractable                     易管理的 -compliant 顺从地
laudatory                     赞美的 -laud 赞美
quandary                      困境
off-putting                   令人反感的
crumble                       使破碎 崩裂 -disintegrat
mishap                        不幸
*execrate                     憎恶 诅咒
flabbergast                   使吃惊 -gho
evince                        表明
ingenuous                     真诚的 -ingenuous/ingenious 天才的
countenance                   赞同 支持
offish                        冷漠的 疏远的
wanting                       有缺陷的
provenance                    起源 出处
haughty                       高傲的
idiosyncrasy                  习性 气质 癖好
*parsimony                    吝啬
provocative                   煽动的
embody                        表现 体现
mercurial                     易变的 反复无常的 -mercury 水银
refractory                    不服管的 倔强的
averse                        反对的
momentary                     短暂的
fetish                        偶像 崇拜物
*endorse                      批准
mediocre                      平庸的
hallmark                      特征
illusory                      虚幻的
abominate                     憎恨
impoverished                  贫穷的
rapprochement                 友好
equanimity                    平静
affinity                      密切关系
retrofit                      翻新
formulaic                     刻板的
gauge                         衡量
complaisant                   顺从的 殷勤的
*fractious                    易怒的 -skIttish 易怒的
preternatual                  异常的 超自然的
jettison                      丢弃
disparate                     不同的
flagrant                      臭名昭著的 -egregious
abreast                       并排 并列
concise                       简洁
inept                         无能的
abstemious                    节制的
sonorous                      声音洪亮的
akin                          相似的
replenish                     补充 -plen 满
thrift                        节俭
paean                         赞歌
mawkish                       多愁善感的
adulterate                    掺假 -
controversial                 有争议的
paradigm                      典范
inimical                      敌意的
muddle                        使困惑
malady                        疾病
intangible                    接触不到的
wield                         使用 运用
halfhearted                   不认真的
covet                         渴求
slog                          苦干
disjunction                   分离
untether                      释放
terse                         简洁的
uprising                      起义
rive                          劈开
abrade                        磨损 折磨
douse                         熄灯
purport                       意图 主旨
palpable                      明显的 可感知的 -pal 触摸
intrinsic                     内在的
anomalous                     异常的
premise                       前提
snobbish                      自命不凡的
precocious                    早熟的
ethical                       道德的
sumptuous                     奢华的
revere                        崇敬
*seethe                       生闷气
irenic                        爱好和平的
reflective                    反省的 沉思的
shackle                       阻碍
alleviate                     减轻
ape                           笨拙得模仿
engender                      产生
plunder                       掠夺
restorative                   滋补品
one-of-a-kind                 独一无二
oratorical                    演说的
forswear                      发誓放弃
objurgation                   斥责
stoic                         禁欲主义的
aggrieve                      使痛苦
tacit                         默许的 心照不宣的
nettle                        惹恼
contagious                    传染的
amid                          在之中 -midst
oppressive                    压迫的
qualm                         不安的
yen                           渴望
ungainly                      笨拙的
lest                          -conj 唯恐
prompt                        促进；敏捷的
clutch                        抓住
kinfolk                       亲戚
embolden                      鼓舞 -bold 勇敢
forebode                      预示
cataclysm                     灾难
contravene                    违反 -ven 走
adverse                       不利的 -adversary 对手
proofread                     校对
analgesic                     止痛药
panegyric                     赞美
transmogrify                  使变形
transgress                    违反
circumlocution                迂回的话 -loc 说
ascribe                       归因于
*weary                        疲倦的
instinct                      本能
conceive                      构想
jejune                        无聊的 -vapid
somber                        昏暗的 严肃的
leaven                        酵母 使生动
equilibrium                   平衡
bewilder                      使困惑
ramshackle                    摇摇欲坠的
sidestep                      绕过
sacrosanct                    神圣的
augment                       放大
modicum                       少量
serendipitous                 偶然的
belligerent                   好战的
