abate                                             减弱
budding                                           新出现的
adduce                                            引证
parody                                            拙劣模仿
decelerate                                        减缓
meddle                                            干涉
recondite                                         深奥的
congruous                                         一致的 适当的
callous                                           无情的
disgruntle                                        使不高兴
retiring                                          害羞的
corporeal                                         有形的 实体的
glamorous                                         有魅力的 迷人的
premeditate                                       预谋
mince                                             切碎；委婉表达
jettison                                          丢弃
belittle                                          轻视
habitable                                         宜居的
uncanny                                           怪异的 神秘的
hiatus                                            间歇
nuance                                            细微差异
sobriety                                          清醒 严肃
mandate                                           命令
precedent                                         先例
slipshod                                          粗心的
befuddle                                          使迷惑
acrimony                                          犀利 尖刻
momentary                                         短暂的
boorish                                           粗野的
felicitous                                        合适的
voluminous                                        庞大浩繁的
phlegmatic                                        冷静的
emotive                                           有感染力的
falsify                                           篡改 伪造
wholesome                                         有益健康的
resourceful                                       足智多谋的
constrict                                         压缩 收紧 限制
warrant                                           保证 依据 -unwarranted 无依据的
provident                                         节俭的
polemical                                         好争辩的 -contentious
terminology                                       术语
multifarious                                      各种各样的
specious                                          似是而非的
overthrow                                         推翻
exculpate                                         开脱罪责 -culp 罪
valorize                                          规定价格
timorous                                          胆怯地
peruse                                            仔细研读
convolute                                         卷绕 回旋 -convoluted 复杂的
accrete                                           共生
obviate                                           避免
cachet                                            威望
reluctant                                         不情愿的
downplay                                          贬低
palpable                                          明显的 可感知的 -pal 触摸
embody                                            表现 体现
taciturn                                          沉默寡言的
recalcitrant                                      顽固的
lush                                              茂盛的 奢华的
clamorous                                         吵闹的
demur                                             反对
dampen                                            抑制
relegate                                          降级
grip                                              吸引
garner                                            谷仓 -v 贮藏 获得
sartorial                                         衣服相关的
fluid                                             液体 -adj 流动的
cumbersome                                        笨拙的 -cumber 阻碍
recrudesce                                        复发
esoteric                                          深奥的 机密的
rehabilitate                                      恢复
hard-nosed                                        顽强的
instinct                                          本能
dismantle                                         拆卸 -mantle 覆盖物
fixate                                            全神贯注
secular                                           世俗的
quaff                                             畅饮
inscrutable                                       神秘莫测的
proliferate                                       增殖 激增 -abound
infuriate                                         激怒
grandiose                                         壮观的
efficacious                                       有效果的
abash                                             使羞愧
curt                                              简短的 草率的
illusory                                          虚幻的
slight                                            微小的 -v 轻视
resign                                            辞职
entrench                                          牢固地确立 -n 壕沟
impoverished                                      贫穷的
retain                                            保留
prodigious                                        大的惊人的
exemplar                                          典型
insular                                           孤立的
relish                                            欣赏 品味
collegiality                                      共同掌权
crumble                                           使破碎 崩裂 -disintegrat
agog                                              渴望的
ineffable                                         难以言表的
mirth                                             欢乐
pathological                                      病态的
latent                                            潜在的
respite                                           喘息 暂歇
unassuming                                        谦虚的
authoritative                                     权威的
benevolent                                        仁慈的
preside                                           主持
dictate                                           命令 支配
sentimental                                       多愁善感的
occult                                            神秘的 超自然的 隐蔽
pendulum                                          钟摆 摇摆不定
facet                                             某一方面
beset                                             困扰
divisive                                          制造分裂的
avant-garde                                       先锋派
plausible                                         看上去合理的
amass                                             积累 积聚
ruminate                                          沉思
entail                                            牵涉 需要 继承
intact                                            完整的
equivocal                                         有歧义的
slog                                              苦干
supercede                                         取代
propound                                          提议
revel                                             陶醉；狂欢
condone                                           原谅
bustling                                          忙乱的
aspersion                                         诽谤
disgorge                                          吐出 -gorge 喉咙
distend                                           膨胀
construe                                          分析 解释
moribund                                          垂死的
emend                                             修订
aver                                              断言
inclusive                                         全面的
insightful                                        有洞察力的
prophylactic                                      预防性的
percussion                                        敲打
revolt                                            反叛 厌恶
dispute                                           争辩
ignorant                                          无知的 愚昧的
terse                                             简洁的
valediction                                       告别
boycott                                           抵制
witty                                             机智幽默的
trite                                             陈腐的
subsist                                           维持生存
categorical                                       绝对的
abound                                            丰富 盛产
provenance                                        起源 出处
stalwart                                          强壮的 忠诚的
bootless                                          无用的
meretricious                                      华而不实的
apocalypse                                        大灾难
guileful                                          狡诈的
rattle                                            发出嘎嘎声
vicissitude                                       变迁
onerous                                           繁重的
ostentatious                                      炫耀的
preclude                                          阻止
remonstrate                                       抗议
expurgate                                         删除（书中成分）
vacillate                                         摇摆 犹豫 -irresolu
pledge                                            许诺 发誓
conscientious                                     良心的
somber                                            昏暗的 严肃的
ensue                                             紧随其后
waver                                             摇摆
indefatigable                                     不知疲倦的
hyperbole                                         夸张
rapprochement                                     友好
resolute                                          坚决的 不动摇的
sage                                              圣人 -adj 智慧的
streamline                                        简化  使现代化
enduring                                          持久的
fulminate                                         抨击 辱骂
clandestine                                       秘密的 -covert 隐蔽的
harness                                           马具 -v 控制
ostensible                                        表面的 虚假的
decadent                                          颓废的
circumscribe                                      限制
ingenious                                         天才的
surplus                                           过量
avow                                              承认 公开声明
acumen                                            聪明
brink                                             边缘
miserly                                           吝啬的
euphemism                                         委婉语
paean                                             赞歌
mar                                               损坏
disguise                                          伪装
asunder                                           分离的
fusty                                             守旧的
vitriol                                           刻薄话 硫酸盐
cast-iron                                         坚固的
wanting                                           有缺陷的
choke                                             扼止 哽咽
levity                                            轻率
nettle                                            惹恼
elicit                                            引起 -draw
exempt                                            免除
myriad                                            大量的
ridicule                                          嘲笑
rife                                              普遍的
serendipitous                                     偶然的
savvy                                             有见识的
cryptic                                           神秘的 隐蔽的
acclaim                                           称赞
iterate                                           重复
raillery                                          打趣
edify                                             启迪
herald                                            预告 传达
confine                                           限制 -circumscrib
bequest                                           遗产
sparkling                                         闪闪发光的
replete                                           充满的 -plet 满
revelation                                        揭露
incumbent                                         在职的 义不容辞的
obnoxious                                         令人讨厌的
guile                                             欺骗
schism                                            分裂
ardent                                            热衷的 -ard 火
resolve                                           决心
surfeit                                           过量 过度
heretofore                                        迄今为止
disinterested                                     公正的
rebuke                                            指责
extenuate                                         减轻（罪行）
elaborate                                         精心的
leach                                             过滤掉
forswear                                          发誓放弃
meander                                           漫无目的闲逛
disseminate                                       散布 传播
querulous                                         抱怨的
outstrip                                          超过
ambivalent                                        矛盾的
insatiable                                        无法满足的 贪得无厌的
wieldy                                            适合的
discursive                                        离题的
enliven                                           使活跃
roost                                             栖息
testimony                                         证据
affable                                           和蔼可亲的 -cordial -gent
backhanded                                        含沙射影讽刺挖苦的
eulogize                                          称赞
plague                                            瘟疫 灾害
towering                                          耸立的
agonize                                           苦苦思索 -agonize over
vigilant                                          警惕的
trenchant                                         犀利的
orientation                                       取向
concord                                           意见一致
synoptic                                          提纲的 -
overblow                                          夸大
bravado                                           虚张声势
ethical                                           道德的
deleterious                                       有害的
consilience                                       一致 符合
muddle                                            使困惑
deceive                                           欺骗
versatile                                         多功能的
truculent                                         好斗的
effusive                                          溢于言表的
imperturbable                                     沉着的 镇静的
pecuniary                                         金钱上的
murk                                              昏暗
erudite                                           博学的
extirpate                                         根除 -elimin
vituperate                                        辱骂
luxuriant                                         茂盛的 华丽的
curtail                                           削减
inaugurate                                        开始
erstwhile                                         过去的 -onetim
ungainly                                          笨拙的
endow                                             赋予 捐赠
diffident                                         胆怯地
diatribe                                          抨击
compulsory                                        强制的
recollect                                         记忆
prosecute                                         起诉 控告
utter                                             完全的 -v 发出声音
perennial                                         长久的
insidious                                         潜伏的 阴险的
paucity                                           少量
clairvoyance                                      洞察力
nascent                                           初始的
seamy                                             丑恶的 污秽的
bifurcate                                         分岔的 -bi -fork
portend                                           预示
voluble                                           健谈的
stigma                                            耻辱
fringe                                            边缘
covet                                             渴求
glisten                                           闪烁光芒的
overshadow                                        使阴暗
penurious                                         贫穷的
omnivorous                                        杂食性的
phenomenal                                        显著的
concur                                            同意
concomitant                                       伴随的
anemia                                            无活力
transmogrify                                      使变形
austere                                           简朴的
profligate                                        挥霍浪费的
fetish                                            偶像 崇拜物
moonshine                                         空话
honorific                                         尊敬的
preach                                            布道 说教 -preachy 好为人师的
patchwork                                         混合物
apropos                                           合适的 就什么而言
malignant                                         恶性的
impose                                            强加
override                                          推翻 凌驾
monarchy                                          君主制
explicate                                         解释
forebode                                          预示
futile                                            无用的
predispose                                        使倾向于 使易感染
rebuff                                            断然拒绝
succinct                                          简洁的
enamor                                            使喜欢
demise                                            死亡 让位 转让
provocative                                       煽动的
cajole                                            劝诱
inflammatory                                      煽动性的 -inflame 发怒
surrogate                                         代理
astute                                            敏锐的
compartmentalize                                  分门别类
brackish                                          有咸味的（水）
invertebrate                                      软弱的 无脊椎动物
conflate                                          合并
downcast                                          沮丧的
bemoan                                            哀悼
genial                                            和蔼的
excoriate                                         擦伤 指责
insult                                            侮辱
flippant                                          轻率的 无礼的 -
contemplate                                       深入思考
facetious                                         爱开玩笑的
pragmatic                                         实际的
averse                                            反对的
unalloyed                                         纯粹的 -alloy 合金
substantiate                                      证实
apathy                                            冷漠
approbate                                         认可
exiguous                                          稀少的
resemble                                          相似
univocal                                          单意的 意义明确的
archaic                                           过时的 古老的
affluent                                          富裕的
deplete                                           耗尽
imbibe                                            喝
staple                                            主要 主食 -adj  基本的
prescribe                                         规定 开处方
contrive                                          设计 发明
incisive                                          尖锐的
ebullient                                         热情奔放的
misgiving                                         不安
flamboyant                                        过分华丽的
respite                                           暂歇 休息
conceal                                           隐藏
sterling                                          高质量的
astringent                                        严厉的 -
innate                                            天生的
caricature                                        讽刺画
cataclysm                                         灾难
distill                                           蒸馏 提炼
redolent                                          芬芳的
wont                                              惯于
exclusive                                         专用的 排外的
commence                                          开始
unseemly                                          不得体的
permanent                                         永久的
diffuse                                           扩散
aristocracy                                       贵族
renounce                                          拒绝 否认
snub                                              怠慢 冷落
glum                                              悲伤
compunction                                       内疚 后悔
elucidate                                         阐明
designate                                         指定
awry                                              斜的 错误的
insouciance                                       无忧无虑
plunder                                           掠夺
hasty                                             仓促的
qualm                                             不安的
redundant                                         冗余的
peremptory                                        专横的 -empt 拿
morale                                            士气
decorous                                          得体的 -decorum 礼貌
betoken                                           预示
bolster                                           支持 -bu
distress                                          紧张
reparation                                        赔偿 修理
indigenous                                        固有的 天生的
countenance                                       赞同 支持
detest                                            憎恶
circumlocution                                    迂回的话 -loc 说
subservient                                       卑躬屈膝的
fungible                                          可代替的
fortuitous                                        偶然的
minster                                           大臣 -v 辅助 -ministration 帮助
treacherous                                       奸诈的
proclivity                                        倾向
pregnable                                         易受攻击的
impasse                                           僵局 绝境
inept                                             无能的
baffle                                            使困惑
jubilation                                        欣喜若狂 -
rancor                                            怨恨
verifiable                                        可验证的
unrivaled                                         无敌的
malady                                            疾病
protract                                          延长 拖延
paltry                                            微小的
entrust                                           委托 托付
surfeit                                           过量
skittish                                          易激动的 轻佻的
inimical                                          敌意的
molder                                            腐朽 -mold 模型；发霉
exert                                             运用
palatable                                         美味的
convulsion                                        动乱
synergy                                           协同作用
seditious                                         煽动性的
milieu                                            周围 环境
controvert                                        争论
imperil                                           使处于危险
galvanize                                         刺激 激励
proscribe                                         禁止
prone                                             倾向的
testy                                             易怒的
tentative                                         试探性的 临时的 犹豫的
contrite                                          后悔的
flummery                                          恭维
unyielding                                        固执的 -implacab
resurgence                                        复苏
corrode                                           腐蚀 削弱
belligerent                                       好战的
curb                                              限制 控制
strenuous                                         费力的
monolithic                                        庞大僵化的
accentuate                                        强调
albeit                                            -conj 即使
sweeping                                          全面的
forage                                            寻找食物
inoculate                                         免疫接种 灌输
abolish                                           废除
compassionate                                     同情
disquisition                                      专题报告
pry                                               窥探
brook                                             容忍
digress                                           离题 -gress 走
umbrage                                           生气
sluggish                                          迟钝的
subsidize                                         赞助
dilate                                            扩大
croon                                             低吟浅唱
dearth                                            缺乏
circuitous                                        迂回的
perplexing                                        令人费解的
extricate                                         解脱
sleazy                                            低俗的
proofread                                         校对
vilify                                            诽谤
scorn                                             鄙视
restive                                           不服管理的
yen                                               渴望
collected                                         镇静的
burlesque                                         滑稽模仿
refute                                            驳倒
inconsequential                                   不重要的
underlie                                          成为根据
lapse                                             失效 -n 疏忽
antidiluvian                                      古老 -大洪水之前
pristine                                          原始的
feeble                                            虚弱的 -enfeeble 使虚弱
flagrant                                          臭名昭著的 -egregious
grouchy                                           易怒的
gloat                                             幸灾乐祸
veer                                              改变方向
off-putting                                       令人反感的
aggrandize                                        夸大
contravene                                        违反 -ven 走
regimen                                           养生法
observant                                         善于观察的
hagiography                                       圣徒传 -hagio 神圣的
imperative                                        命令的
heredity                                          遗传
bypass                                            绕过 -circumvent
uproarious                                        喧闹的
unsparing                                         无情的
temptation                                        诱惑
stratum                                           层 -stratify
resent                                            厌恶
exalt                                             赞扬 提高
prowess                                           高超技艺 -prow 勇敢
whisk                                             拂
prefigure                                         预示
sketchy                                           粗略的
adjunct                                           附件
adept                                             精通的
conciliatory                                      调和的 安抚的
pathetic                                          可怜的
indemnify                                         赔偿
kindred                                           亲属 -adj 类似的
dearth                                            缺少
affirmative                                       肯定的 积极的
neutralize                                        中和
mundane                                           平凡的 世俗的
amorphous                                         不固定形状的
bogus                                             伪造的
insensitive                                       不在乎的
supplant                                          取代
elate                                             使高兴
puncture                                          刺穿
embargo                                           贸易禁令
malleable                                         韧性的 有延展性的
forthwith                                         立刻
ubiquitous                                        无处不在的
vernacular                                        方言的 本国话的
reproach                                          谴责
anathema                                          讨厌的东西
impugn                                            指摘 -pugn 打
pertinent                                         相关的
willful                                           任性的 固执的
humdrum                                           乏味的
tribulation                                       苦难
discriminatory                                    歧视的
enjoin                                            禁止
invoke                                            引述；祈求
incursion                                         侵入  -incur 引起
proffer                                           提供
quip                                              风趣的话
audacious                                         大胆的 -audacity 勇敢的
conversant                                        熟悉的
deviate                                           脱离
ramification                                      结果 分支
potent                                            强有力的 有权势的 -impotent 无能的 -omnipotent 全能的
erode                                             腐蚀
retrench                                          消减费用 -curtail
monogamy                                          一夫一妻制
proscriptive                                      剥夺人权的
beget                                             导致 引起
rescind                                           废除法律
inverse                                           相反的
ferment                                           骚动
obdurate                                          固执的
oblivious                                         健忘的
prerogative                                       特权
preempt                                           占先 取代 -empt 拿
immure                                            囚禁
wondrous                                          奇异的
pensive                                           沉思的
nullify                                           使无效
obsess                                            使着迷
sumptuous                                         奢华的
eclectic                                          兼收并蓄的 -lec 收集
don                                               穿上
abet                                              教唆 怂恿
tractable                                         易管理的 -compliant 顺从地
conviviality                                      欢乐
eyesore                                           碍眼的事物
commensurable                                     相称的 能比较的
menace                                            威胁
aloof                                             冷漠的
flinch                                            退缩 畏惧
amicable                                          友好的
courteous                                         有礼貌的
winnow                                            筛选
comity                                            礼仪
arduous                                           困难的 -h
mellifluous                                       悦耳的
plod                                              勤奋工作
malinger                                          为逃避工作装病
baroque                                           奢华的
elegiac                                           伤感的
hallmark                                          特征
foretell                                          预言
bathetic                                          平庸的 陈腐的
precocious                                        早熟的
overwrought                                       紧张的
veto                                              否决
quirky                                            奇怪的
outrage                                           使生气
surmount                                          战胜
impudent                                          粗鲁的 无礼的
obtrusive                                         刺眼的 冒失的
opprobrium                                        抨击 谴责 -opprobrious 无礼的
expository                                        解释的
majestic                                          庄严宏伟的
promulgate                                        传播
ecstatic                                          欣喜若狂的 -ecstacy
capricious                                        变化多端的 -caprice 任性的想法 -impulsive -cavalier -fickle -versatile -volatile -errat
palliate                                          减轻
yield                                             屈服 放弃
long-winded                                       冗长的 -verbose -prolix
impeach                                           控告 怀疑
unanimous                                         意见一致的
incipient                                         开始的
preponderance                                     （数量上的）优势
reprehend                                         斥责
obfuscate                                         使困惑 -obscur
indebted                                          受惠的 负债的
bemuse                                            使困惑
hand-wringing                                     绝望的
dubious                                           可疑的
venal                                             贪财的
fluster                                           使不安
expiate                                           赎罪 -pius 虔诚
surmise                                           猜测
balk                                              畏缩不前
anecdote                                          轶事
reverent                                          恭敬的
eclipse                                           黯然失色
volatile                                          易变的 不稳定的
bewilder                                          使困惑
captious                                          吹毛求疵的
solicitous                                        热心的 关心的
anthropogenic                                     人为的
aggravate                                         恶化
analgesic                                         止痛药
hallow                                            崇敬
chivalrous                                        勇敢的
self-defeating                                    弄巧成拙的
obstreperous                                      不服管的
fecund                                            多产的
revile                                            辱骂 -vile 邪恶
gut                                               内脏 胆量
celerity                                          敏捷
hermetic                                          密闭的 深奥的
lethargic                                         无精打采的 -somnolen
hoard                                             贮藏
interlope                                         干涉
chastise                                          严惩某人
sardonic                                          讽刺的
haughty                                           高傲的
tout                                              兜售
stanch                                            止血
boon                                              福利
backwater                                         死水 停滞
pertain                                           相关 合适 -v
florid                                            过分花哨的
quiescent                                         静止的
demoralize                                        使泄气 -moral 士气
clangorous                                        叮当响的
transitory                                        短暂的
exacting                                          严格的 费劲的
spike                                             上升
bristle                                           鬃毛 -v 发怒
devious                                           曲折的 不正直的 -via
antidote                                          解药
diligent                                          努力的 -industrious
ascertain                                         查明
cosset                                            溺爱
eschew                                            避免
shear                                             剪切
obtuse                                            迟钝的
impeccable                                        完美无瑕的
codify                                            编纂 整理
rein                                              缰绳 驾驭 控制 -bridl
piecemeal                                         逐个完成的
savor                                             滋味
protean                                           多变的
coruscate                                         闪烁
premonitory                                       预告的
countermand                                       撤销命令
insolent                                          无礼的
gauge                                             衡量
equitable                                         平等的
deprecate                                         反对
fitful                                            断续的 不规律的
panache                                           派头
apex                                              顶峰
misfeasance                                       不法行为
laborious                                         费力的
astronomical                                      巨大的
explicit                                          清楚的
churlish                                          不礼貌的 -churl 农民
discretion                                        谨慎 自由决定
hypocrisy                                         虚伪
phlegmatic                                        冷静的 沉着的
baneful                                           有害的
askew                                             斜的
unctuous                                          油腻的 虚情假意的
riveting                                          吸引人的
airtight                                          密封的 无懈可击的
nebulous                                          模糊的
incense                                           激怒 -n 香
premise                                           前提
remedy                                            补救
avid                                              渴望的 贪婪的
humility                                          谦虚
insipid                                           乏味的
putative                                          公认的 假定的
provisional                                       临时的
minutia                                           细节
ruthless                                          无情的
sleek                                             圆滑的
annex                                             附加
invigorate                                        使有活力
charlatan                                         假充内行者 骗子
enchanting                                        迷人的
elude                                             逃避
repugnant                                         令人厌恶的
finesse                                           技巧 手段
denunciate                                        指责 -denounce 指责
rebut                                             驳回
loquacious                                        话多的 -garrulous 话多的
flatter                                           谄媚
ploy                                              策略 手段
